model_id,make,model,min_price,max_price,hold_amount,currency,warranty,warranty_duration,item_name
1,Acura,MDX,,,,AED,12,months,Economy
2,Acura,TLX,,,,AED,12,months,Economy
3,Alfa Romeo,147,495,495,471.4285714,AED,12,months,Economy
4,Alfa Romeo,156,495,495,471.4285714,AED,12,months,Economy
5,Alfa Romeo,159,495,495,471.4285714,AED,12,months,Economy
6,Alfa Romeo,166,,,,AED,12,months,Economy
7,Alfa Romeo,4C,495,495,471.4285714,AED,12,months,Economy
8,Alfa Romeo,Brera,495,495,471.4285714,AED,12,months,Economy
9,Alfa Romeo,Giulia,495,495,471.4285714,AED,12,months,Economy
10,Alfa Romeo,Giulia QV,495,495,471.4285714,AED,12,months,Economy
11,Alfa Romeo,Giulietta,495,495,471.4285714,AED,12,months,Economy
12,Alfa Romeo,Giulietta QV,495,495,471.4285714,AED,12,months,Economy
13,Alfa Romeo,GT Coupe,495,495,471.4285714,AED,12,months,Economy
14,Alfa Romeo,Mito,495,495,471.4285714,AED,12,months,Economy
15,Alfa Romeo,Spider,495,495,471.4285714,AED,12,months,Economy
16,Alfa Romeo,Stelvio,495,495,471.4285714,AED,12,months,Economy
17,Alfa Romeo,Stelvio QV,495,495,471.4285714,AED,12,months,Economy
18,Aston Martin,DB11,,,,AED,12,months,Economy
19,Aston Martin,DB11 Volante,,,,AED,12,months,Economy
20,Aston Martin,DB7,,,,AED,12,months,Economy
21,Aston Martin,DB9,,,,AED,12,months,Economy
22,Aston Martin,DB9 Volante,,,,AED,12,months,Economy
23,Aston Martin,DBS,,,,AED,12,months,Economy
24,Aston Martin,One-77,,,,AED,12,months,Economy
25,Aston Martin,Rapide,,,,AED,12,months,Economy
26,Aston Martin,V12 Vantage,,,,AED,12,months,Economy
27,Aston Martin,V12 Vantage Roadster,,,,AED,12,months,Economy
28,Aston Martin,V8 Vantage,,,,AED,12,months,Economy
29,Aston Martin,V8 Vantage Roadster,,,,AED,12,months,Economy
30,Aston Martin,Vanquish,,,,AED,12,months,Economy
31,Aston Martin,Vanquish Volante,,,,AED,12,months,Economy
32,Aston Martin,Zagato,,,,AED,12,months,Economy
33,Audi,A1,453,453,431.4285714,AED,12,months,Economy
34,Audi,A3,495,495,471.4285714,AED,12,months,Economy
35,Audi,A3 Sedan,495,495,471.4285714,AED,12,months,Economy
36,Audi,A4,565,565,538.0952381,AED,12,months,Economy
37,Audi,A5 Cabriolet,565,565,538.0952381,AED,12,months,Economy
38,Audi,A5 Coupe,565,565,538.0952381,AED,12,months,Economy
39,Audi,A5 Sportback,565,565,538.0952381,AED,12,months,Economy
40,Audi,A6,630,630,600,AED,12,months,Economy
41,Audi,A7,630,630,600,AED,12,months,Economy
42,Audi,A8,630,630,600,AED,12,months,Economy
43,Audi,Q2,565,565,538.0952381,AED,12,months,Economy
44,Audi,Q3,495,495,471.4285714,AED,12,months,Economy
45,Audi,Q5,565,565,538.0952381,AED,12,months,Economy
46,Audi,Q7,565,565,538.0952381,AED,12,months,Economy
47,Audi,R8,,,,AED,12,months,Economy
48,Audi,R8 Spyder,,,,AED,12,months,Economy
49,Audi,RS 3,565,565,538.0952381,AED,12,months,Economy
50,Audi,RS 3 Sedan,565,565,538.0952381,AED,12,months,Economy
51,Audi,RS 4,565,565,538.0952381,AED,12,months,Economy
52,Audi,RS 5,565,565,538.0952381,AED,12,months,Economy
53,Audi,RS 6,630,630,600,AED,12,months,Economy
54,Audi,RS 7,630,630,600,AED,12,months,Economy
55,Audi,RS Q3,565,565,538.0952381,AED,12,months,Economy
56,Audi,S Q5,630,630,600,AED,12,months,Economy
57,Audi,S3,565,565,538.0952381,AED,12,months,Economy
58,Audi,S5,630,630,600,AED,12,months,Economy
59,Audi,S6,630,630,600,AED,12,months,Economy
60,Audi,S7,630,630,600,AED,12,months,Economy
61,Audi,S8,630,630,600,AED,12,months,Economy
62,Audi,TT,495,495,471.4285714,AED,12,months,Economy
63,BAIC,A1 Hatchback,,,,AED,12,months,Economy
64,BAIC,A1 Sedan,,,,AED,12,months,Economy
65,BAIC,A5 Sedan,,,,AED,12,months,Economy
66,Bentley,Arnage,,,,AED,12,months,Economy
67,Bentley,Azure,,,,AED,12,months,Economy
68,Bentley,Bentayga,,,,AED,12,months,Economy
69,Bentley,Brooklands,,,,AED,12,months,Economy
70,Bentley,Continental,,,,AED,12,months,Economy
71,Bentley,Continental Flying Spur,,,,AED,12,months,Economy
72,Bentley,Continental GT,,,,AED,12,months,Economy
73,Bentley,Continental GTC,,,,AED,12,months,Economy
74,Bentley,Flying Spur,,,,AED,12,months,Economy
75,Bentley,Mulsanne,,,,AED,12,months,Economy
76,BMW,1-Series,,,,AED,12,months,Economy
77,BMW,2-Series,,,,AED,12,months,Economy
78,BMW,3-Series,,,,AED,12,months,Economy
79,BMW,3-Series Convertible,,,,AED,12,months,Economy
80,BMW,3-Series Coupe,,,,AED,12,months,Economy
81,BMW,4-Series,,,,AED,12,months,Economy
82,BMW,4-Series Convertible,,,,AED,12,months,Economy
83,BMW,4-Series Gran Coupe,,,,AED,12,months,Economy
84,BMW,5-Series,,,,AED,12,months,Economy
85,BMW,5-Series GT,,,,AED,12,months,Economy
86,BMW,6-Series Cabriolet,,,,AED,12,months,Economy
87,BMW,6-Series Coupe,,,,AED,12,months,Economy
88,BMW,6-Series Gran Coupe,,,,AED,12,months,Economy
89,BMW,6-Series Gran Turismo,,,,AED,12,months,Economy
90,BMW,7-Series,,,,AED,12,months,Economy
91,BMW,8-Series,,,,AED,12,months,Economy
92,BMW,i8,,,,AED,12,months,Economy
93,BMW,M2,495,495,471.4285714,AED,12,months,Economy
94,BMW,M3,565,565,538.0952381,AED,12,months,Economy
95,BMW,M3 Convertible,565,565,538.0952381,AED,12,months,Economy
96,BMW,M3 Coupe,565,565,538.0952381,AED,12,months,Economy
97,BMW,M4,630,630,600,AED,12,months,Economy
98,BMW,M4 Convertible,630,630,600,AED,12,months,Economy
99,BMW,M5,630,630,600,AED,12,months,Economy
100,BMW,M6 Cabriolet,630,630,600,AED,12,months,Economy
101,BMW,M6 Coupe,630,630,600,AED,12,months,Economy
102,BMW,M6 Gran Coupe,630,630,600,AED,12,months,Economy
103,BMW,X1,495,495,471.4285714,AED,12,months,Economy
104,BMW,X3,565,565,538.0952381,AED,12,months,Economy
105,BMW,X4,565,565,538.0952381,AED,12,months,Economy
106,BMW,X5,630,630,600,AED,12,months,Economy
107,BMW,X5 M,630,630,600,AED,12,months,Economy
108,BMW,X6,,,,AED,12,months,Economy
109,BMW,X6 M,,,,AED,12,months,Economy
110,BMW,Z4,495,495,471.4285714,AED,12,months,Economy
111,Borgward,BX5,,,,AED,12,months,Economy
112,Borgward,BX7,,,,AED,12,months,Economy
113,Brilliance,FRV,,,,AED,12,months,Economy
114,Brilliance,FRV Cross,,,,AED,12,months,Economy
115,Brilliance,FSV,,,,AED,12,months,Economy
116,Brilliance,H530,,,,AED,12,months,Economy
