model_id,make,model,min_price,max_price,hold_amount,currency,warranty,warranty_duration,item_name
1,Acura,MDX,,,,AED,18,months,Premium
2,Acura,TLX,,,,AED,18,months,Premium
3,Alfa Romeo,147,945,945,900,AED,18,months,Premium
4,Alfa Romeo,156,945,945,900,AED,18,months,Premium
5,Alfa Romeo,159,945,945,900,AED,18,months,Premium
6,Alfa Romeo,166,,,,AED,18,months,Premium
7,Alfa Romeo,4C,945,945,900,AED,18,months,Premium
8,Alfa Romeo,Brera,945,945,900,AED,18,months,Premium
9,Alfa Romeo,Giulia,945,945,900,AED,18,months,Premium
10,Alfa Romeo,Giulia QV,945,945,900,AED,18,months,Premium
11,Alfa Romeo,Giulietta,945,945,900,AED,18,months,Premium
12,Alfa Romeo,Giulietta QV,945,945,900,AED,18,months,Premium
13,Alfa Romeo,GT Coupe,945,945,900,AED,18,months,Premium
14,Alfa Romeo,Mito,945,945,900,AED,18,months,Premium
15,Alfa Romeo,Spider,945,945,900,AED,18,months,Premium
16,Alfa Romeo,Stelvio,945,945,900,AED,18,months,Premium
17,Alfa Romeo,Stelvio QV,945,945,900,AED,18,months,Premium
18,Aston Martin,DB11,1800,1800,1714.285714,AED,18,months,Premium
19,Aston Martin,DB11 Volante,1800,1800,1714.285714,AED,18,months,Premium
20,Aston Martin,DB7,1800,1800,1714.285714,AED,18,months,Premium
21,Aston Martin,DB9,1800,1800,1714.285714,AED,18,months,Premium
22,Aston Martin,DB9 Volante,1800,1800,1714.285714,AED,18,months,Premium
23,Aston Martin,DBS,1800,1800,1714.285714,AED,18,months,Premium
24,Aston Martin,One-77,,,,AED,18,months,Premium
25,Aston Martin,Rapide,1800,1800,1714.285714,AED,18,months,Premium
26,Aston Martin,V12 Vantage,1800,1800,1714.285714,AED,18,months,Premium
27,Aston Martin,V12 Vantage Roadster,1800,1800,1714.285714,AED,18,months,Premium
28,Aston Martin,V8 Vantage,1800,1800,1714.285714,AED,18,months,Premium
29,Aston Martin,V8 Vantage Roadster,1800,1800,1714.285714,AED,18,months,Premium
30,Aston Martin,Vanquish,1800,1800,1714.285714,AED,18,months,Premium
31,Aston Martin,Vanquish Volante,1800,1800,1714.285714,AED,18,months,Premium
