model_id,make,model,min_price,max_price,hold_amount,currency,warranty,warranty_duration,item_name
1,Acura,MDX,,,,AED,12,months,Standard
2,Acura,TLX,,,,AED,12,months,Standard
3,Alfa Romeo,147,635,635,604.7619048,AED,12,months,Standard
4,Alfa Romeo,156,635,635,604.7619048,AED,12,months,Standard
5,Alfa Romeo,159,635,635,604.7619048,AED,12,months,Standard
6,Alfa Romeo,166,,,,AED,12,months,Standard
7,Alfa Romeo,4C,635,635,604.7619048,AED,12,months,Standard
8,Alfa Romeo,Brera,635,635,604.7619048,AED,12,months,Standard
9,Alfa Romeo,Giulia,635,635,604.7619048,AED,12,months,Standard
10,Alfa Romeo,Giulia QV,635,635,604.7619048,AED,12,months,Standard
11,Alfa Romeo,Giulietta,635,635,604.7619048,AED,12,months,Standard
12,Alfa Romeo,Giulietta QV,635,635,604.7619048,AED,12,months,Standard
13,Alfa Romeo,GT Coupe,635,635,604.7619048,AED,12,months,Standard
14,Alfa Romeo,Mito,635,635,604.7619048,AED,12,months,Standard
15,Alfa Romeo,Spider,635,635,604.7619048,AED,12,months,Standard
16,Alfa Romeo,Stelvio,635,635,604.7619048,AED,12,months,Standard
17,Alfa Romeo,Stelvio QV,635,635,604.7619048,AED,12,months,Standard
18,Aston Martin,DB11,,,,AED,12,months,Standard
19,Aston Martin,DB11 Volante,,,,AED,12,months,Standard
20,Aston Martin,DB7,,,,AED,12,months,Standard
21,Aston Martin,DB9,,,,AED,12,months,Standard
22,Aston Martin,DB9 Volante,,,,AED,12,months,Standard
23,Aston Martin,DBS,,,,AED,12,months,Standard
24,Aston Martin,One-77,,,,AED,12,months,Standard
25,Aston Martin,Rapide,,,,AED,12,months,Standard
26,Aston Martin,V12 Vantage,,,,AED,12,months,Standard
27,Aston Martin,V12 Vantage Roadster,,,,AED,12,months,Standard
28,Aston Martin,V8 Vantage,,,,AED,12,months,Standard
29,Aston Martin,V8 Vantage Roadster,,,,AED,12,months,Standard
30,Aston Martin,Vanquish,,,,AED,12,months,Standard
31,Aston Martin,Vanquish Volante,,,,AED,12,months,Standard
32,Aston Martin,Zagato,,,,AED,12,months,Standard
33,Audi,A1,525,525,500,AED,12,months,Standard
34,Audi,A3,635,635,604.7619048,AED,12,months,Standard
35,Audi,A3 Sedan,635,635,604.7619048,AED,12,months,Standard
36,Audi,A4,700,700,666.6666667,AED,12,months,Standard
37,Audi,A5 Cabriolet,700,700,666.6666667,AED,12,months,Standard
38,Audi,A5 Coupe,700,700,666.6666667,AED,12,months,Standard
39,Audi,A5 Sportback,700,700,666.6666667,AED,12,months,Standard
40,Audi,A6,775,775,738.0952381,AED,12,months,Standard
41,Audi,A7,775,775,738.0952381,AED,12,months,Standard
42,Audi,A8,775,775,738.0952381,AED,12,months,Standard
43,Audi,Q2,700,700,666.6666667,AED,12,months,Standard
44,Audi,Q3,635,635,604.7619048,AED,12,months,Standard
45,Audi,Q5,700,700,666.6666667,AED,12,months,Standard
46,Audi,Q7,735,735,700,AED,12,months,Standard
47,Audi,R8,890,890,847.6190476,AED,12,months,Standard
48,Audi,R8 Spyder,890,890,847.6190476,AED,12,months,Standard
49,Audi,RS 3,700,700,666.6666667,AED,12,months,Standard
50,Audi,RS 3 Sedan,700,700,666.6666667,AED,12,months,Standard
51,Audi,RS 4,700,700,666.6666667,AED,12,months,Standard
52,Audi,RS 5,700,700,666.6666667,AED,12,months,Standard
53,Audi,RS 6,775,775,738.0952381,AED,12,months,Standard
54,Audi,RS 7,775,775,738.0952381,AED,12,months,Standard
55,Audi,RS Q3,700,700,666.6666667,AED,12,months,Standard
56,Audi,S Q5,775,775,738.0952381,AED,12,months,Standard
57,Audi,S3,700,700,666.6666667,AED,12,months,Standard
